heart_rate,emotion,symptoms,disease,risk,specialist
100,sad,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
84,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
109,sad,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
84,sad,joint pain stiffness swelling,Arthritis,Low,Orthopedic
96,fear,weight loss anxiety rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
75,sad,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
88,neutral,back pain loss height bone fractures,Osteoporosis,Low,Orthopedic
84,sad,confusion temporary loss of awareness,Epilepsy,Low,Neurologist
62,sad,red patches silvery scales itching,Psoriasis,Low,Dermatologist
78,sad,heartburn acid reflux pain,GERD,Low,Gastroenterologist
67,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
137,fear,pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
96,neutral,fever cough chest pain shortness breath,Pneumonia,High,Pulmonologist
91,neutral,fever cough loss of taste of breath,COVID-19,High,General Physician
63,sad,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
64,sad,stomach pain vomiting bloating,Gastritis,Low,Gastroenterologist
71,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
66,neutral,back pain loss of bone fractures,Osteoporosis,Low,Orthopedic
60,sad,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
74,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
65,neutral,blurred vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
80,sad,headache stiff neck fever,Meningitis,Low,Neurologist
65,sad,seizures confusion loss of awareness,Epilepsy,Low,Neurologist
79,sad,blurred vision urination fatigue,Diabetes Type 2,Low,Endocrinologist
77,neutral,cough fever night sweats loss,Tuberculosis,Low,Pulmonologist
68,sad,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
75,sad,fever cough fatigue,Flu,Low,General Physician
73,sad,cough fever night sweats loss,Tuberculosis,Low,Pulmonologist
81,neutral,headache stiff neck fever,Meningitis,Low,Neurologist
109,neutral,fever cough loss of taste shortness of breath,COVID-19,High,General Physician
70,sad,joint pain stiffness,Osteoarthritis,Low,Orthopedic
71,neutral,fever cough,Flu,Low,General Physician
62,neutral,joint pain swelling,Osteoarthritis,Low,Orthopedic
61,sad,hand numbness weakness,Carpal Tunnel Syndrome,Low,Orthopedic
78,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
86,sad,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
69,sad,back loss of height bone fractures,Osteoporosis,Low,Orthopedic
87,sad,back pain numbness legs,Slip Disc,Low,Orthopedic
70,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
80,neutral,back pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
60,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
106,fear,abdominal pain nausea loss of appetite,Appendicitis,Critical,Surgeon
116,neutral,fever cough chest pain shortness breath,Pneumonia,High,Pulmonologist
70,neutral,back pain loss height bone fractures,Osteoporosis,Low,Orthopedic
66,sad,fever fatigue,Flu,Low,General Physician
79,sad,headache neck fever,Meningitis,Low,Neurologist
64,sad,abdominal pain bloating constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
80,neutral,acid reflux chest pain,GERD,Low,Gastroenterologist
58,sad,fatigue weight depression cold intolerance,Hypothyroidism,Low,Endocrinologist
80,neutral,stomach pain vomiting,Food Poisoning,Low,Gastroenterologist
128,fear,chest pain dizziness,Heart Failure,High,Cardiologist
89,sad,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
160,fear,palpitations dizziness chest pain,Arrhythmia,High,Cardiologist
102,fear,weight loss anxiety rapid heartbeat intolerance,Hyperthyroidism,Medium,Endocrinologist
116,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
78,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
73,sad,chronic shortness of breath wheezing,COPD,Low,Pulmonologist
84,neutral,stomach nausea vomiting bloating,Gastritis,Low,Gastroenterologist
60,neutral,urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
53,neutral,weight gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
62,sad,ear fever hearing loss,Otitis Media,Low,ENT Specialist
79,sad,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
75,sad,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
76,neutral,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
69,sad,joint pain swelling morning fatigue,Rheumatoid Arthritis,Low,Rheumatologist
102,fear,chest tightness wheezing,Asthma,High,Pulmonologist
127,sad,chest pain dizziness,Heart Failure,High,Cardiologist
85,surprise,facial drooping arm weakness speech,Stroke,Critical,Neurologist
83,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
121,fear,chest pain of breath sweating,Heart Attack,Critical,Cardiologist
69,sad,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
78,neutral,fever headache abdominal pain,Typhoid,Low,Infectious Disease Specialist
87,sad,ear pain fever loss,Otitis Media,Low,ENT Specialist
72,sad,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
68,sad,abdominal pain blood in stool,Ulcerative Colitis,Low,Gastroenterologist
118,fear,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
65,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
79,neutral,blackheads whiteheads oily skin,Acne,Low,Dermatologist
152,fear,palpitations dizziness chest,Arrhythmia,High,Cardiologist
129,surprise,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
87,sad,ear fever hearing loss,Otitis Media,Low,ENT Specialist
67,neutral,joint pain rash,Lyme Disease,Low,Infectious Disease Specialist
119,fear,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
100,angry,headache blurred dizziness,Hypertension,Medium,Neurologist
120,fear,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
84,neutral,chronic cough of breath wheezing,COPD,Low,Pulmonologist
67,neutral,jaundice abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
73,sad,heartburn acid reflux pain,GERD,Low,Gastroenterologist
92,sad,abdominal pain nausea fever loss appetite,Appendicitis,Critical,Surgeon
67,sad,seizures temporary loss of awareness,Epilepsy,Low,Neurologist
81,neutral,fever cough loss of taste shortness breath,COVID-19,High,General Physician
74,sad,abdominal pain bloating diarrhea,Irritable Bowel Syndrome,Low,Gastroenterologist
76,sad,joint pain stiffness swelling,Arthritis,Low,Orthopedic
73,neutral,back pain numbness legs,Slip Disc,Low,Orthopedic
89,sad,blackheads whiteheads oily skin,Acne,Low,Dermatologist
65,neutral,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
66,neutral,red itching discharge,Conjunctivitis,Low,Ophthalmologist
66,neutral,headache body pain,Dengue,Low,General Physician
76,neutral,frequent urination thirst weight loss,Diabetes Type 1,Low,Endocrinologist
70,sad,joint stiffness swelling,Arthritis,Low,Orthopedic
81,fear,fever cough loss of taste shortness of breath,COVID-19,High,General Physician
87,neutral,cough production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
61,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
94,sad,cough chest tightness wheezing,Asthma,High,Pulmonologist
66,neutral,pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
60,sad,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
76,neutral,heartburn acid reflux chest,GERD,Low,Gastroenterologist
107,neutral,headache blurred vision dizziness,Hypertension,Medium,Neurologist
80,sad,heartburn acid reflux chest,GERD,Low,Gastroenterologist
81,neutral,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
73,neutral,sore fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
106,sad,worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
69,neutral,fatigue weight gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
73,sad,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
65,sad,cough night sweats weight loss,Tuberculosis,Low,Pulmonologist
82,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
64,sad,blackheads whiteheads oily skin,Acne,Low,Dermatologist
90,fear,facial arm weakness speech difficulty,Stroke,Critical,Neurologist
98,fear,weight loss anxiety rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
120,sad,fever cough chest pain shortness breath,Pneumonia,High,Pulmonologist
72,sad,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
63,sad,cough mucus production wheezing chest,Bronchitis,Low,Pulmonologist
60,neutral,weight loss thirst frequent,Diabetes,Low,Endocrinologist
80,sad,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
72,disgust,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
70,neutral,headache stiff neck fever,Meningitis,Low,Neurologist
72,neutral,cough fatigue,Flu,Low,General Physician
88,sad,numbness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
84,sad,fever headache body pain,Dengue,Low,General Physician
109,sad,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
79,sad,stomach pain vomiting bloating,Gastritis,Low,Gastroenterologist
112,fear,chest tightness wheezing,Asthma,High,Pulmonologist
108,neutral,headache blurred vision dizziness,Hypertension,Medium,Neurologist
71,sad,skin rash itching,Allergy,Low,Dermatologist
86,neutral,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
88,neutral,abdominal diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
62,sad,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
86,sad,pain numbness legs,Slip Disc,Low,Orthopedic
79,neutral,pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
84,sad,stomach nausea vomiting bloating,Gastritis,Low,Gastroenterologist
102,fear,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
90,neutral,headache neck fever,Meningitis,Low,Neurologist
158,fear,palpitations chest pain,Arrhythmia,High,Cardiologist
60,sad,fever cough,Flu,Low,General Physician
116,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
78,sad,chest fever cough,Pericarditis,Low,Cardiologist
88,neutral,back pain numbness,Slip Disc,Low,Orthopedic
87,neutral,headache blurred dizziness,Hypertension,Medium,Neurologist
98,fear,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
95,sad,cough chest tightness wheezing,Asthma,High,Pulmonologist
83,sad,fever cough,Flu,Low,General Physician
115,sad,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
77,neutral,fever headache pain,Dengue,Low,General Physician
90,sad,skin rash itching,Allergy,Low,Dermatologist
83,sad,joint pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
101,sad,cough loss of taste shortness of breath,COVID-19,High,General Physician
85,sad,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
87,sad,fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
110,sad,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
81,sad,itching redness dry skin rash,Eczema,Low,Dermatologist
78,sad,pain numbness legs,Slip Disc,Low,Orthopedic
67,sad,blackheads whiteheads oily skin,Acne,Low,Dermatologist
80,neutral,joint pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
63,sad,itching redness dry skin,Eczema,Low,Dermatologist
70,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
89,neutral,headache stiff neck,Meningitis,Low,Neurologist
76,neutral,red eyes itching discharge,Conjunctivitis,Low,Ophthalmologist
77,sad,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
110,neutral,fever cough chest pain shortness breath,Pneumonia,High,Pulmonologist
63,neutral,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
87,sad,fever fatigue,Flu,Low,General Physician
65,neutral,headache body pain,Dengue,Low,General Physician
76,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
89,neutral,red patches silvery scales itching,Psoriasis,Low,Dermatologist
86,sad,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
88,neutral,heartburn acid chest pain,GERD,Low,Gastroenterologist
152,neutral,palpitations dizziness pain,Arrhythmia,High,Cardiologist
71,neutral,stomach pain nausea,Food Poisoning,Low,Gastroenterologist
70,sad,sore throat fever lymph nodes,Strep Throat,Low,ENT Specialist
65,neutral,abdominal pain diarrhea in stool,Ulcerative Colitis,Low,Gastroenterologist
89,sad,joint pain swelling morning fatigue,Rheumatoid Arthritis,Low,Rheumatologist
61,neutral,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
125,sad,pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
86,sad,pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
68,sad,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
86,neutral,blurred vision urination fatigue,Diabetes Type 2,Low,Endocrinologist
88,sad,itching redness dry skin rash,Eczema,Low,Dermatologist
79,sad,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
64,sad,stomach vomiting nausea,Food Poisoning,Low,Gastroenterologist
70,sad,back pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
70,neutral,abdominal diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
74,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
82,sad,hand tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
79,neutral,joint pain swelling,Arthritis,Low,Orthopedic
90,sad,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
60,sad,back numbness legs,Slip Disc,Low,Orthopedic
108,sad,excessive restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
68,neutral,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
115,fear,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
122,fear,chest pain radiating arm shortness of breath,Angina,High,Cardiologist
85,neutral,chest fever cough,Pericarditis,Low,Cardiologist
67,neutral,sadness loss interest fatigue sleep changes,Depression,Medium,Psychiatrist
90,sad,numbness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
72,neutral,joint pain stiffness swelling,Arthritis,Low,Orthopedic
73,neutral,back pain legs,Slip Disc,Low,Orthopedic
141,neutral,palpitations chest pain,Arrhythmia,High,Cardiologist
66,neutral,blurred vision frequent fatigue,Diabetes Type 2,Low,Endocrinologist
77,neutral,seizures confusion temporary loss of,Epilepsy,Low,Neurologist
88,neutral,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
80,disgust,severe headache nausea to light,Migraine,Medium,Neurologist
85,neutral,chronic cough of breath wheezing,COPD,Low,Pulmonologist
72,neutral,red patches silvery scales itching,Psoriasis,Low,Dermatologist
60,neutral,hand tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
66,neutral,joint pain morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
82,neutral,acid reflux chest pain,GERD,Low,Gastroenterologist
60,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
69,sad,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
86,sad,headache stiff neck fever,Meningitis,Low,Neurologist
117,sad,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
73,sad,red itching discharge,Conjunctivitis,Low,Ophthalmologist
66,sad,frequent urination excessive weight loss,Diabetes Type 1,Low,Endocrinologist
122,fear,excessive restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
95,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
82,neutral,back pain loss of bone fractures,Osteoporosis,Low,Orthopedic
70,sad,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
67,sad,seizures temporary loss of awareness,Epilepsy,Low,Neurologist
87,sad,skin rash itching allergy,Allergy,Low,Dermatologist
66,sad,red patches silvery itching,Psoriasis,Low,Dermatologist
92,fear,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
87,neutral,itching redness skin rash,Eczema,Low,Dermatologist
70,sad,fever headache abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
72,sad,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
66,neutral,cough fever night weight loss,Tuberculosis,Low,Pulmonologist
61,neutral,abdominal pain weight loss,Crohn's Disease,Low,Gastroenterologist
113,sad,excessive worry fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
82,fear,fever cough loss of taste shortness of breath,COVID-19,High,General Physician
63,sad,red patches silvery scales itching,Psoriasis,Low,Dermatologist
67,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
60,sad,headache stiff neck fever,Meningitis,Low,Neurologist
104,sad,cough chest tightness wheezing,Asthma,High,Pulmonologist
81,neutral,fever cough loss of taste shortness of breath,COVID-19,High,General Physician
103,sad,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
76,sad,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
89,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
100,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
73,sad,joint pain swelling morning fatigue,Rheumatoid Arthritis,Low,Rheumatologist
84,disgust,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
99,sad,abdominal pain nausea fever of appetite,Appendicitis,Critical,Surgeon
116,fear,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
95,sad,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
118,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
87,neutral,chest pain fever cough,Pericarditis,Low,Cardiologist
68,sad,fatigue weight gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
72,fear,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
111,neutral,weight loss rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
81,neutral,red eyes itching discharge,Conjunctivitis,Low,Ophthalmologist
84,sad,vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
77,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
67,sad,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
78,neutral,pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
71,sad,blurred vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
74,neutral,fever headache body pain,Dengue,Low,General Physician
69,sad,weight gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
88,sad,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
76,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
75,neutral,pain fever hearing loss,Otitis Media,Low,ENT Specialist
82,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
63,neutral,stomach pain nausea bloating,Gastritis,Low,Gastroenterologist
103,sad,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
79,sad,seizures confusion temporary loss awareness,Epilepsy,Low,Neurologist
86,sad,cough fever night weight loss,Tuberculosis,Low,Pulmonologist
65,sad,back pain loss of height bone,Osteoporosis,Low,Orthopedic
87,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
64,neutral,ear pain hearing loss,Otitis Media,Low,ENT Specialist
73,sad,joint pain stiffness,Arthritis,Low,Orthopedic
77,sad,pain fever cough,Pericarditis,Low,Cardiologist
72,sad,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
87,sad,stomach pain vomiting nausea,Food Poisoning,Low,Gastroenterologist
127,sad,excessive worry restlessness irritability,Anxiety Disorder,Medium,Psychiatrist
68,neutral,loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
65,neutral,stomach pain vomiting nausea,Food Poisoning,Low,Gastroenterologist
78,neutral,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
112,fear,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
64,sad,joint pain fever,Lyme Disease,Low,Infectious Disease Specialist
64,sad,pimples whiteheads oily skin,Acne,Low,Dermatologist
82,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
63,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
71,sad,hand numbness tingling,Carpal Tunnel Syndrome,Low,Orthopedic
68,neutral,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
69,sad,back pain loss height bone fractures,Osteoporosis,Low,Orthopedic
69,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
56,neutral,fatigue weight gain cold intolerance,Hypothyroidism,Low,Endocrinologist
83,sad,back pain loss height bone fractures,Osteoporosis,Low,Orthopedic
83,sad,joint swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
72,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
90,sad,chest pain fever cough,Pericarditis,Low,Cardiologist
80,neutral,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
75,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
72,neutral,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
79,sad,itching redness dry skin,Eczema,Low,Dermatologist
60,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
79,neutral,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
70,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
62,sad,fever headache body pain,Dengue,Low,General Physician
74,sad,skin itching allergy,Allergy,Low,Dermatologist
68,sad,skin rash itching allergy,Allergy,Low,Dermatologist
65,sad,itching redness dry skin rash,Eczema,Low,Dermatologist
75,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
74,sad,numbness weakness vision problems,Multiple Sclerosis,Low,Neurologist
62,sad,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
75,sad,sore throat fever swollen lymph,Strep Throat,Low,ENT Specialist
75,sad,skin rash itching allergy,Allergy,Low,Dermatologist
86,sad,itching redness dry skin rash,Eczema,Low,Dermatologist
63,neutral,red patches silvery scales itching,Psoriasis,Low,Dermatologist
70,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
74,neutral,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
90,neutral,abdominal bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
69,neutral,skin rash allergy,Allergy,Low,Dermatologist
72,sad,joint swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
82,sad,joint pain stiffness swelling,Arthritis,Low,Orthopedic
75,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
85,neutral,frequent urination excessive thirst weight,Diabetes Type 1,Low,Endocrinologist
79,sad,ear pain fever hearing,Otitis Media,Low,ENT Specialist
66,sad,facial drooping arm weakness speech,Stroke,Critical,Neurologist
85,angry,severe headache nausea sensitivity to,Migraine,Medium,Neurologist
90,neutral,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
82,neutral,weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
60,sad,headache stiff fever,Meningitis,Low,Neurologist
86,neutral,pain numbness legs,Slip Disc,Low,Orthopedic
65,neutral,joint pain stiffness,Osteoarthritis,Low,Orthopedic
117,fear,cough chest tightness wheezing,Asthma,High,Pulmonologist
75,sad,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
61,sad,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
85,sad,headache neck fever,Meningitis,Low,Neurologist
67,neutral,joint pain swelling morning fatigue,Rheumatoid Arthritis,Low,Rheumatologist
61,sad,cough fever sweats weight loss,Tuberculosis,Low,Pulmonologist
64,neutral,stomach pain vomiting bloating,Gastritis,Low,Gastroenterologist
75,sad,fever headache body pain,Dengue,Low,General Physician
87,sad,chest fever cough,Pericarditis,Low,Cardiologist
64,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
126,sad,chest pain radiating to arm of breath,Angina,High,Cardiologist
78,sad,stomach pain nausea vomiting,Gastritis,Low,Gastroenterologist
70,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
116,surprise,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
90,neutral,abdominal diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
63,fear,facial drooping arm speech difficulty,Stroke,Critical,Neurologist
99,angry,headache vision dizziness,Hypertension,Medium,Neurologist
126,neutral,palpitations chest pain,Arrhythmia,High,Cardiologist
110,fear,cough chest tightness wheezing,Asthma,High,Pulmonologist
90,sad,abdominal diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
78,sad,seizures confusion loss of awareness,Epilepsy,Low,Neurologist
72,neutral,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
116,sad,cough chest tightness,Asthma,High,Pulmonologist
140,neutral,palpitations dizziness chest pain,Arrhythmia,High,Cardiologist
98,neutral,fever cough loss of shortness of breath,COVID-19,High,General Physician
50,neutral,fatigue weight gain cold intolerance,Hypothyroidism,Low,Endocrinologist
74,sad,abdominal pain diarrhea loss,Crohn's Disease,Low,Gastroenterologist
80,neutral,stomach pain nausea bloating,Gastritis,Low,Gastroenterologist
81,angry,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
73,sad,fever headache abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
65,sad,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
70,sad,fatigue weight gain cold intolerance,Hypothyroidism,Low,Endocrinologist
63,neutral,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
81,sad,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
90,sad,joint swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
61,sad,back loss of height bone fractures,Osteoporosis,Low,Orthopedic
71,sad,abdominal diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
79,sad,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
82,neutral,joint stiffness swelling,Arthritis,Low,Orthopedic
140,sad,chest pain radiating to shortness of breath,Angina,High,Cardiologist
82,sad,pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
67,sad,headache neck fever,Meningitis,Low,Neurologist
88,sad,fever cough fatigue,Flu,Low,General Physician
136,surprise,chest pain of breath sweating,Heart Attack,Critical,Cardiologist
90,neutral,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
74,neutral,ear fever hearing loss,Otitis Media,Low,ENT Specialist
65,sad,stomach pain nausea,Food Poisoning,Low,Gastroenterologist
78,neutral,fever headache abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
88,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
88,neutral,joint pain swelling morning fatigue,Rheumatoid Arthritis,Low,Rheumatologist
77,sad,joint pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
84,sad,joint pain rash,Lyme Disease,Low,Infectious Disease Specialist
78,sad,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
79,disgust,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
67,neutral,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
75,neutral,abdominal pain diarrhea loss,Crohn's Disease,Low,Gastroenterologist
